i,name,pre,post,ratio,p,gap_pre,gap_post,n_pos,val,fit_ratio,credible,outcome
348,Hungary,0.39410082586296885,0.2747792766558312,0.6972309079894533,0.9590163934426229,0.12912676580490698,0.25136427060345035,5,5330711.5,1.0876783145116518,True,B. log share of US mkt
360,Indonesia,1.308948970076191,1.4168297131047898,1.0824178371310529,0.860655737704918,1.304097573885882,1.4128900158468565,2,18201104.0,3.612566419866545,False,B. log share of US mkt
368,Iraq,0.3287923651315593,1.4476496073009826,4.402929510609945,0.13934426229508196,-0.005370933369341105,0.8726658478882179,7,1496.8966064453125,0.9074335856757141,True,B. log share of US mkt
404,Kenya,0.40741525592056366,0.8010185767905632,1.9660986306971846,0.5491803278688525,0.3531908991898875,0.7878097284784309,4,429425.90625,1.1244247912844851,True,B. log share of US mkt
458,Malaysia,1.9561683343590686,2.045524927422659,1.0456793985947368,0.860655737704918,1.9510288765197785,2.042276603777643,2,35231488.0,5.398826232240743,False,B. log share of US mkt
484,Mexico,3.9258881706510507,4.064886487625074,1.0354055721742508,0.860655737704918,3.9220098798925225,4.064596329416547,1,271554752.0,10.835053235589278,False,B. log share of US mkt
504,Morocco,0.1268016204808653,0.4688231518129619,3.6972962177853916,0.21311475409836064,-0.00013198022313246324,0.4291204190173249,14,941007.0625,0.34995961386269486,True,B. log share of US mkt
508,Mozambique,0.8004603002627317,0.29740278247293117,0.37153970331235153,1.0,0.16789147590658696,-0.008801917334959544,4,111626.125,2.209189255863134,False,B. log share of US mkt
524,Nepal,0.21918522678052774,0.2499088496027014,1.140171959914696,0.8278688524590164,0.05596969538618621,-0.17254293770123372,7,93132.6015625,0.604928998837959,True,B. log share of US mkt
566,Nigeria,0.6790978952674919,0.8587699200018757,1.2645745569033346,0.7704918032786885,0.024617880064133436,-0.6001084349648979,5,399434.15625,1.8742413251622703,True,B. log share of US mkt
586,Pakistan,0.14251546699610057,0.24523424573994174,1.7207553040306265,0.5655737704918032,0.11142395103998966,0.23446742136988658,4,3743190.75,0.3933282367392395,True,B. log share of US mkt
604,Peru,0.15588832518509238,0.14807973076900102,0.9499090492708809,0.8934426229508197,0.043266265517147524,-0.06127721361054788,4,4102768.0,0.43023596922966434,True,B. log share of US mkt
608,Philippines,0.8527021890131387,0.8686939513901654,1.0187542175721802,0.8688524590163934,0.8336432468022772,0.8478607490103754,3,10618337.0,2.353371571082908,False,B. log share of US mkt
616,Poland,0.35624310428637407,0.5126854463729766,1.4391448990991356,0.7213114754098361,0.11076610533614377,0.5027125770757482,4,6052428.0,0.9831948420258584,True,B. log share of US mkt
634,Qatar,0.26097471770199937,0.28673522055443035,1.0987088062754273,0.8442622950819673,0.022635129374593402,0.2515700313436134,5,733645.0,0.7202637560038085,True,B. log share of US mkt
642,Romania,0.2165539651559672,0.3976448926083269,1.8362392594471029,0.5491803278688525,0.043457014264418656,0.3669557488048615,6,2028950.0,0.5976669835844404,True,B. log share of US mkt
643,Russia,0.6810744299686985,0.533817255299699,0.7837869575051184,0.9426229508196722,0.6697445768204658,0.17182138666038874,2,7965560.5,1.8796963605017032,True,B. log share of US mkt
682,Saudi Arabia,0.11201118296071505,0.33550145836447476,2.9952496661172034,0.29508196721311475,0.0049400212188237735,0.319561501149802,7,1478579.625,0.3091395061717748,True,B. log share of US mkt
688,Serbia,0.39549927076876884,0.5752534528444165,1.454499402050079,0.6967213114754098,-0.02288843575224998,0.37378746765974163,8,302450.90625,1.0915378806385365,True,B. log share of US mkt
699,India,2.086024486215831,2.3802500541471425,1.1410460758612924,0.8278688524590164,2.0750517411665483,2.3783634390149797,1,44272352.0,5.75721604294782,False,B. log share of US mkt
704,Vietnam,1.6967692871099824,2.7196963368740397,1.6028674950301316,0.5983606557377049,1.6328224725912932,2.7095801256194036,2,42132400.0,4.68291116690181,False,B. log share of US mkt
710,South Africa,0.5905161624325326,0.6448942338287823,1.0920856614190684,0.860655737704918,0.572023151505501,0.6179005627556665,3,6633166.0,1.629764725410229,True,B. log share of US mkt
764,Thailand,1.7891996327222375,2.0507192317530123,1.146165690092881,0.8278688524590164,1.7870671850655784,2.0464262502183344,2,30043534.0,4.938009547640103,False,B. log share of US mkt
784,UAE,0.2807502295385891,0.46358256979833734,1.6512277498765784,0.5737704918032787,0.041609758045001465,0.4488009337454021,6,2599731.0,0.7748421632830311,True,B. log share of US mkt
788,Tunisia,0.10199232994167018,0.6004757534029043,5.887459907488325,0.07377049180327869,-0.003787246057568729,0.4593737654764813,11,400593.125,0.28148848782835284,True,B. log share of US mkt
792,Turkiye,0.46852629900263676,0.7020759466351718,1.4984771359253426,0.6639344262295082,0.3949454181992213,0.6950603402852783,3,8030557.5,1.29308507305885,True,B. log share of US mkt
804,Ukraine,0.38970583095898564,0.34775300566345885,0.8923474529691036,0.9098360655737705,0.02637607271941929,0.006195216617712163,6,670192.0,1.0755485742631148,True,B. log share of US mkt
818,Egypt,0.13385483196472733,0.07443331409245292,0.5560749133962318,0.9672131147540983,-0.0016249841674187819,-0.01798452833847922,12,1457169.125,0.3694257623079883,True,B. log share of US mkt
12,Algeria,0.5959370384711519,2.3325593046106814,3.9141035948944394,0.1651376146788991,-0.056743812962235456,-2.0984883529813967,3,125474.0859375,1.4241123548914119,True,"C. log US exports, decoupling sectors"
32,Argentina,0.21433822627478372,0.3662240468478211,1.7086268427840692,0.6055045871559633,0.011449602324182512,-0.312477216179576,6,3627914.75,0.5122046398500647,True,"C. log US exports, decoupling sectors"
50,Bangladesh,0.48474618160106164,0.2681740569564597,0.5532257233480647,0.981651376146789,0.45892143439547906,0.2368258054628163,2,6199558.5,1.1583992630757176,True,"C. log US exports, decoupling sectors"
68,Bolivia,0.12722317589585277,0.2831189200170888,2.2253722092966393,0.45871559633027525,0.004208529124453716,-0.2033571599779247,7,802726.5,0.3040255680140575,True,"C. log US exports, decoupling sectors"
76,Brazil,0.23204004263009712,0.4221349677577492,1.8192332796227282,0.5779816513761468,0.09615495195072864,0.3997005239023966,5,20568666.0,0.5545067183385811,True,"C. log US exports, decoupling sectors"
100,Bulgaria,0.1466807810679638,0.2979122832984503,2.0310246586457303,0.5229357798165137,0.00953286986188815,0.18777229319582947,11,573555.3125,0.35052345979351557,True,"C. log US exports, decoupling sectors"
152,Chile,0.10824176334245823,0.48460636547094804,4.4770738253564595,0.1559633027522936,0.012061718882077603,0.44624069449445514,11,7215728.0,0.2586656350252831,True,"C. log US exports, decoupling sectors"
170,Colombia,0.0641037047183339,0.47247203876849986,7.370432658213763,0.08256880733944955,0.005124863614981414,0.4133812578344508,10,2939266.0,0.15318879678613803,True,"C. log US exports, decoupling sectors"
191,Croatia,0.11032802462129059,0.293871353073633,2.6636147441447355,0.3302752293577982,0.005343923934541195,0.23089186771537307,12,500533.375,0.2636511792538125,True,"C. log US exports, decoupling sectors"
218,Ecuador,0.1047912832846529,0.8845017458326723,8.440604200160712,0.06422018348623854,-0.0005218249034810315,0.8586233775247466,13,1600545.125,0.2504200134857438,True,"C. log US exports, decoupling sectors"
288,Ghana,0.23118117333795882,0.341639333846861,1.4777991170908444,0.6605504587155964,0.008038843597514823,0.22909908568797807,8,104960.28125,0.5524542760649663,True,"C. log US exports, decoupling sectors"
348,Hungary,0.1812055922799819,0.2383374809197274,1.3152876681171664,0.7064220183486238,0.0485126723433011,0.17902990175007286,5,5330711.5,0.43302749465509194,True,"C. log US exports, decoupling sectors"
360,Indonesia,1.110306491604642,0.6398622102891663,0.5762933164197049,0.981651376146789,1.107469992204146,0.6161478587559291,1,18201104.0,2.653302430180887,False,"C. log US exports, decoupling sectors"
368,Iraq,0.6369477737051268,1.2474587086904778,1.958494495449772,0.5504587155963303,0.05146871230416128,0.7569175519785151,5,1496.8966064453125,1.5221158199549638,True,"C. log US exports, decoupling sectors"
404,Kenya,1.6578399030318176,0.5218938184452618,0.3148035087651317,1.0,1.3520316210660068,0.4777970995221819,1,429425.90625,3.961744506427218,False,"C. log US exports, decoupling sectors"
458,Malaysia,1.549791328303577,0.8285649383566068,0.5346300003262797,0.981651376146789,1.525796283375133,0.8145102092197963,1,35231488.0,3.703540534756569,False,"C. log US exports, decoupling sectors"
484,Mexico,3.215828196562562,2.7480821508494926,0.8545488076094834,0.8807339449541285,3.2143865932117808,2.7383593150547574,1,271554752.0,7.684873351188099,False,"C. log US exports, decoupling sectors"
504,Morocco,0.07813382830542365,0.5223103089497899,6.684816554848546,0.08256880733944955,-0.0007625457580906088,0.442097500617406,17,941007.0625,0.1867166211218881,True,"C. log US exports, decoupling sectors"
