num,den,share_den,loo_b,dose,ctry,sector,pct_dose
-0.11619924058863118,0.006147181703004256,3.5883715012092816e-05,0.028733553888030398,9.75517923507141e-06,Argentina,2399,68.02168021680217
1.181906650940888,80.49165892002499,0.46986405951285987,0.028793055834488632,0.000937730073928833,Argentina,2410,95.58652729384437
3.2372929500009393,2.457399976767694,0.014344889202471388,0.028541880271359354,0.0021748687140643597,Argentina,2420,98.1223383662408
-0.09477524511492565,0.028809809361925474,0.00016817511481575633,0.028732341288244322,1.752208117977716e-05,Argentina,2431,70.96399535423926
-0.03239633654422365,0.00032011326867179457,1.8686373462808674e-06,0.028728652182136896,3.7633210013154894e-05,Argentina,2511,75.06775067750678
0.028525408102048413,0.0013906695164270034,8.117929648815028e-06,0.02872509771575,1.4582464245904703e-05,Argentina,2512,70.15098722415796
0.032044345941498686,0.0021101906520401216,1.2318080648565076e-05,0.028724893506848783,3.791183416979038e-06,Argentina,2520,64.24699961285327
-0.0050000193988256345,0.0008748903430991549,5.107107168031021e-06,0.02872705387283044,0.00021569636010099202,Argentina,2593,87.55323267518389
-0.27280882114746363,0.09879045286786586,0.0005766819052857321,0.02874285129972274,0.0005192628595978022,Argentina,2599,92.85714285714286
-0.009591124466683185,0.05135841418502971,0.00029980091481401184,0.028727406533072965,0.0004942666855640709,Argentina,2610,92.62485481997678
0.6651377661232041,1.2729907147246773,0.007430988415048163,0.028690065567413867,0.0013076183386147022,Argentina,2620,97.13511420828495
-0.4869394558869582,0.046952986987712414,0.0002740845619074761,0.028755264074840792,6.851367652416229e-05,Argentina,2630,79.1521486643438
0.32367619337990067,0.07473398101234734,0.0004362540438743837,0.028707991416539805,0.00030694587621837854,Argentina,2640,89.50832365466512
-0.1391221484074613,0.41048808202477793,0.0023961935831568037,0.02873557024491247,0.000815915409475565,Argentina,2651,94.85094850948511
0.01919395148248048,0.001543801140125312,9.011824088513088e-06,0.028725642689396143,8.280123438453302e-05,Argentina,2660,80.60394889663183
-0.12761240427148143,0.02985550901277002,0.0001742793085865069,0.028734259890156474,4.4685788452625275e-05,Argentina,2670,75.99690282617112
-0.3121399868241735,0.2983051043141539,0.0017413338123111449,0.02874548202717924,0.0009445052710361779,Argentina,2710,95.62524196670537
-2.2129124734688785,0.5820886774853435,0.003397899268935212,0.0288569181785632,1.2087569302821066e-05,Argentina,2720,69.08633372048007
0.017135828232576193,0.0006073611270036468,3.5454253093203675e-06,0.028725761260552856,1.7258969819522463e-05,Argentina,2731,70.8478513356562
-0.23344695125522108,0.029210387621477325,0.00017051346054885444,0.028740436831396998,0.00019749872444663197,Argentina,2732,87.0112272551297
-0.022654318862647876,0.014732731586309587,8.6001222533315e-05,0.028728107668805417,2.999267599079758e-05,Argentina,2740,73.86759581881533
0.4724803597512274,0.29696390263313766,0.001733504647464463,0.02869967735470611,0.0006069966475479305,Argentina,2750,93.59272164150212
0.2314989897804001,0.3879313092346818,0.0022645201032600306,0.028713897184296497,0.0006855863612145185,Argentina,2790,94.17344173441734
-0.1535328700147562,0.004354593858793437,2.5419617081757348e-05,0.02873573020466758,0.00014873909822199494,Argentina,2811,85.05613627564847
-0.027932446632984033,0.0013303699043603582,7.765935157797825e-06,0.028728393300084556,0.00010910100536420941,Argentina,2812,82.71389856755711
-0.118552693169695,1.548314808526123,0.009038172291377275,0.028736278192737275,0.0011817322811111808,Argentina,2813,96.70925280681378
-0.11358843075838909,0.17363048535579786,0.0010135550167443116,0.02873368240496544,0.00043059364543296397,Argentina,2814,91.75377468060395
0.05710985226518077,0.0015223258056946355,8.886463424434592e-06,0.028723429340741163,0.0001862769277067855,Argentina,2816,86.64343786295005
-0.0694567046702156,0.0017948515670710079,1.0477312243805596e-05,0.028730818026886557,3.3819873351603746e-05,Argentina,2818,74.40960123886953
1.1428840021718174,1.0695454592033165,0.006243391899701451,0.02866183500220816,0.0013837969163432717,Argentina,2819,97.27061556329849
-0.09662735732117123,0.08555381021169337,0.0004994139903713458,0.02873254457761335,0.00034460864844731987,Argentina,2821,90.37940379403794
0.08374411523401457,0.00974658315036082,5.689495268023173e-05,0.028721888374299915,0.00024255535390693694,Argentina,2822,88.21138211382113
0.03083766142454034,0.0014422322827781233,8.418923454167238e-06,0.02872496282613514,5.337056063581258e-05,Argentina,2823,77.40998838559814
-0.5245732220587191,0.05879817093311168,0.0003432299403098737,0.028757480808435452,0.00034460448659956455,Argentina,2824,90.36004645760744
0.020509824751980606,0.009803133050703077,5.722505850854197e-05,0.028725579725800233,0.00014234526315703988,Argentina,2825,84.68834688346884
0.08653836710908053,0.032858753434092995,0.00019181052404964233,0.028721764011990673,0.00024152756668627262,Argentina,2826,88.15331010452961
-0.19643578953565916,0.08898395454705532,0.0005194372022637677,0.028738376603923813,0.0005279765464365482,Argentina,2829,92.95392953929539
-0.003155669437818703,0.0007641582051911344,4.460716566394951e-06,0.028726946024582364,0.001035457942634821,Argentina,2910,96.08981804103756
0.20870434249931707,0.01381013349926347,8.061562496588257e-05,0.028714600721322238,9.714512998471037e-05,Argentina,2920,81.6492450638792
-0.3306746149406215,0.05374180110808188,0.00031371375833196983,0.028746153598121563,0.0004272774385754019,Argentina,2930,91.65698799845141
-0.14188023032400965,0.0019956290351452093,1.1649335748772622e-05,0.028735046033440317,1.7646498235990293e-05,Argentina,3012,71.00271002710026
2.090420704347725,0.1165093539555005,0.000680114669709371,0.028604928329092588,2.4476155886077322e-05,Argentina,3030,72.4351529229578
-0.3062686824059446,0.042311601695501785,0.00024699082120909903,0.02874470973615658,0.0001736909180181101,Argentina,3091,86.15950445218738
0.369136300461775,0.028227753115124123,0.0001647774048585217,0.02870525977668117,4.562158210319467e-05,Argentina,3100,76.07433217189315
0.20534933416267803,0.04567031653611182,0.0002665970687498924,0.028714849971926734,6.290267720032716e-06,Argentina,3211,66.12466124661248
-0.02528800540919008,0.0028905966526313453,1.6873642509581244e-05,0.028728241549271533,9.426154974789824e-06,Argentina,3212,67.8474641889276
-0.02107921553379878,0.0027828085155363973,1.624443729326086e-05,0.028727995683500034,8.76641133800149e-05,Argentina,3220,80.97173828881145
-0.03913869440529111,0.003554154688415718,2.0747113085281587e-05,0.028729051185866047,9.321637480752543e-05,Argentina,3230,81.3395276809911
0.2408989304935524,0.015405172204235346,8.992654452020385e-05,0.028712724058150018,4.578374500852078e-06,Argentina,3240,64.94386372435153
-0.1487291821080038,0.09498284113991018,0.0005544552556235154,0.02873560181450836,0.0005056117079220712,Argentina,3250,92.76035617499032
0.3036476764707753,0.020798393819785023,0.0001214090737180738,0.028709070181928868,4.44267934653908e-05,Argentina,3290,75.9581881533101
0.12395774006375712,0.011233867225585227,6.557686261487608e-05,0.02871954342599438,8.315751074405853e-06,Argentina,Wastes,67.44096012388695
0.00904473466766443,0.03295318807595436,0.00019236177923283727,0.028726287812056956,0.0,44,1020,30.545876887340302
0.3750900845854327,0.06448461337091624,0.00037642412420248997,0.028704972981631622,0.0,44,1071,30.545876887340302
