name,pre,fit_x,tau_scm,tau_aug,corr,p_scm,p_aug,credible,spec
Hungary,0.23195225196281313,0.519169067824251,0.20851805963917802,0.378854959263015,-0.17033689962383697,0.8524590163934426,0.680327868852459,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Poland,0.21249124843513004,0.4756103139216956,0.35994452443919167,0.5979152497291333,-0.23797072528994168,0.7131147540983607,0.5491803278688525,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Russia,0.12546505401305638,0.28082320643698994,0.015504167028591809,0.12353868319925806,-0.10803451617066626,1.0,0.9016393442622951,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Brazil,0.09157812798527011,0.2049755108513671,0.33184144042066976,0.09470220212974564,0.23713923829092412,0.7213114754098361,0.9426229508196722,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
India,0.06655391567246811,0.14896485835916184,0.23103350895192262,-0.10833162502647944,0.33936513397840207,0.819672131147541,0.9262295081967213,True,D. log US orientation | (i)  HIGH n_pol vs ZERO
Pakistan,0.07178999088138853,0.20199641409528368,0.23715144534304833,0.19312513325203726,0.04402631209101108,0.6153846153846154,1.0,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Ecuador,0.10315174182583695,0.2902393732146766,0.7618582402174878,0.4590303968353239,0.30282784338216395,0.23076923076923078,0.8461538461538461,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Croatia,0.130603027836744,0.36747940721424627,-0.23824805976568975,-1.2659288789625787,1.027680819196889,0.6153846153846154,0.38461538461538464,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Bulgaria,0.1760853852099722,0.49545369696128777,-0.006161039525562462,-1.6097119177101915,1.603550878184629,1.0,0.3076923076923077,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Romania,0.2378690738655057,0.669295250704021,-0.20403603134062998,-1.2413189671079528,1.0372829357673228,0.6153846153846154,0.46153846153846156,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Indonesia,0.06727920237274143,0.18930435086610248,-0.19007589509281728,-0.03797321855480759,-0.15210267653800968,0.6153846153846154,1.0,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Argentina,0.14196030524690817,0.39943552369473023,-0.017704880586197902,-0.010864244107624798,-0.006840636478573104,1.0,1.0,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Hungary,0.22043142254854203,0.620230708516097,-0.11642168901428651,-0.6203069562802944,0.5038852672660079,0.8461538461538461,0.8461538461538461,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Poland,0.2312385567514795,0.6506388800291234,-0.11469598222011501,-1.55929364635123,1.444597664131115,0.8461538461538461,0.3076923076923077,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Russia,0.13654609860937128,0.3842015013397161,-0.6794447090884567,-0.3217865144843337,-0.35765819460412296,0.23076923076923078,0.9230769230769231,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Brazil,0.06467859582339572,0.1819869910086752,-0.16896965782123363,0.22872234272865144,-0.39769200054988507,0.6923076923076923,1.0,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
India,0.1333882464043894,0.3753162122650438,0.2777230928621689,0.2773200370182177,0.00040305584395118827,0.5384615384615384,1.0,True,D. log US orientation | (ii) HIGH n_pol vs LOW users
Kenya,0.349895492396755,0.7831565121111811,0.3151789646339593,0.22261771395896524,0.09256125067499406,0.7459016393442623,0.819672131147541,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Romania,0.16480681251425167,0.3688802264262027,0.13987796402816,0.2263053864769189,-0.08642742244875891,0.9180327868852459,0.819672131147541,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Bolivia,0.26921775020253147,0.6025788809189847,-1.086060629499557,-1.0800447557142632,-0.006015873785293821,0.27049180327868855,0.27049180327868855,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Nigeria,0.5743089001765993,1.2854516988938645,-0.07736520065835317,-0.13550976744854176,0.05814456679018858,0.9672131147540983,0.8934426229508197,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Pakistan,0.1142760051010378,0.2557792241331495,0.09400181598116461,0.050595496538024004,0.043406319443140606,0.9508196721311475,0.9836065573770492,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Tunisia,0.14558271956478785,0.32585173960668273,0.33886948076289825,0.2893473480005524,0.04952213276234586,0.7213114754098361,0.7377049180327869,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Argentina,0.23755549284837904,0.5317105685975237,0.10089121794960132,-0.29091823909534886,0.3918094570449502,0.9426229508196722,0.7295081967213115,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Colombia,0.0868249883473215,0.19433675630516029,0.46794218759611145,0.3900793017915894,0.07786288580452207,0.6311475409836066,0.680327868852459,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Bulgaria,0.11037072449229869,0.2470381971499053,0.34000228594226334,0.4460856895619972,-0.10608340361973383,0.7213114754098361,0.6721311475409836,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Ecuador,0.1399294945208494,0.31319836137290397,0.06811855414747481,0.07216066852934783,-0.0040421143818730135,0.9672131147540983,0.9754098360655737,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Nepal,0.4077996430360443,0.9127609615449138,-0.005048050537880044,-0.4085253504576738,0.40347729991979375,1.0,0.680327868852459,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Croatia,0.0943903128680943,0.21126990718427852,0.3006191869116006,0.4904494741548677,-0.1898302872432671,0.7622950819672131,0.6311475409836066,True,D. log US orientation | (i)  HIGH pol_per_bn vs ZERO
Kenya,0.3003582265023422,1.5629579654643333,0.09703480212749696,-0.958546303572726,1.055581105700223,0.9230769230769231,0.07692307692307693,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Romania,0.24524207189872527,1.2761529930597735,-0.14081980517557113,0.48561292671013423,-0.6264327318857054,0.9230769230769231,0.46153846153846156,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Bolivia,0.576496532622937,2.9998840325372673,-1.0966488345924745,-2.78842663947513,1.6917778048826553,0.15384615384615385,0.07692307692307693,False,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Nigeria,0.7762448842128827,4.03930379753392,-0.5442988471359983,-0.6091458412668653,0.06484699413086702,0.15384615384615385,0.15384615384615385,False,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Pakistan,0.10923316897833055,0.5684107724822444,0.17255152359769474,-0.4564198398856514,0.6289713634833461,0.7692307692307693,0.46153846153846156,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Tunisia,0.2139758389575632,1.1134545765904929,0.1462820407857106,0.6153442175900917,-0.4690621768043811,0.9230769230769231,0.15384615384615385,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Argentina,0.14884315567331236,0.7745271320632106,-0.006632945728803796,0.5639358430696914,-0.5705687887984952,1.0,0.23076923076923078,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Colombia,0.3614821448675426,1.8810252153671312,0.19372768197650114,-0.6837643749820748,0.8774920569585759,0.7692307692307693,0.15384615384615385,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Bulgaria,0.20874464742675652,1.0862333062855156,0.029948599532815257,0.9413069053064403,-0.9113583057736251,1.0,0.07692307692307693,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Ecuador,0.29428998357611014,1.531380975786466,0.2836273565853304,-1.097899047355891,1.3815264039412214,0.38461538461538464,0.07692307692307693,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Nepal,0.48779885632986686,2.5383327000008507,-0.0765555886038109,1.7857460605446847,-1.8623016491484956,0.9230769230769231,0.07692307692307693,False,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
Croatia,0.17979664553862365,0.9355981441918914,-0.14391117197212178,-0.12495170230146037,-0.01895946967066141,0.9230769230769231,0.7692307692307693,True,D. log US orientation | (ii) HIGH pol_per_bn vs LOW users
