sector,donor,w,rmse,n_don,n_tr,treated
1311,604,0.06743506815186666,0.19081849991105881,17,16,0.0
1311,608,0.05349821488053833,0.19081849991105881,17,16,0.0
1311,710,0.06072390757406364,0.19081849991105881,17,16,0.0
1311,764,0.08254173051934917,0.19081849991105881,17,16,0.0
1311,807,0.14855046871390834,0.19081849991105881,17,16,0.0
1311,858,0.10809801836984766,0.19081849991105881,17,16,0.0
1311,32,,0.19081849991105881,17,16,1.0
1311,76,,0.19081849991105881,17,16,1.0
1311,100,,0.19081849991105881,17,16,1.0
1311,170,,0.19081849991105881,17,16,1.0
1311,218,,0.19081849991105881,17,16,1.0
1311,348,,0.19081849991105881,17,16,1.0
1311,360,,0.19081849991105881,17,16,1.0
1311,484,,0.19081849991105881,17,16,1.0
1311,524,,0.19081849991105881,17,16,1.0
1311,586,,0.19081849991105881,17,16,1.0
1311,616,,0.19081849991105881,17,16,1.0
1311,642,,0.19081849991105881,17,16,1.0
1311,699,,0.19081849991105881,17,16,1.0
1311,704,,0.19081849991105881,17,16,1.0
1311,792,,0.19081849991105881,17,16,1.0
1311,818,,0.19081849991105881,17,16,1.0
1312,44,0.046798966394057284,0.054317849116865956,30,21,0.0
1312,48,0.022383935932798422,0.054317849116865956,30,21,0.0
1312,50,0.0292404421616554,0.054317849116865956,30,21,0.0
1312,112,0.026773654474867563,0.054317849116865956,30,21,0.0
1312,116,0.030851006037133012,0.054317849116865956,30,21,0.0
1312,144,0.050024655066366684,0.054317849116865956,30,21,0.0
1312,152,0.04238055498281109,0.054317849116865956,30,21,0.0
1312,188,0.00022946097141210664,0.054317849116865956,30,21,0.0
1312,214,0.0,0.054317849116865956,30,21,0.0
1312,222,0.042758501046309,0.054317849116865956,30,21,0.0
1312,231,0.06050737713916231,0.054317849116865956,30,21,0.0
1312,288,0.0387475881373189,0.054317849116865956,30,21,0.0
1312,320,0.0258934945904829,0.054317849116865956,30,21,0.0
1312,340,0.03238050367480503,0.054317849116865956,30,21,0.0
1312,384,0.040995518169085,0.054317849116865956,30,21,0.0
1312,404,0.00036678243092445753,0.054317849116865956,30,21,0.0
1312,418,0.04420966549853838,0.054317849116865956,30,21,0.0
1312,422,0.013327405845601598,0.054317849116865956,30,21,0.0
1312,450,0.02556664056100601,0.054317849116865956,30,21,0.0
1312,458,0.03666052453497751,0.054317849116865956,30,21,0.0
1312,466,0.019153121920750596,0.054317849116865956,30,21,0.0
1312,504,0.045881055507143546,0.054317849116865956,30,21,0.0
1312,558,0.062050425291235355,0.054317849116865956,30,21,0.0
1312,604,0.03816082331635655,0.054317849116865956,30,21,0.0
1312,608,0.022866917672557587,0.054317849116865956,30,21,0.0
1312,686,0.0410769834778436,0.054317849116865956,30,21,0.0
1312,704,0.04248540016753617,0.054317849116865956,30,21,0.0
1312,710,0.02076836519678282,0.054317849116865956,30,21,0.0
1312,764,0.03776300156480121,0.054317849116865956,30,21,0.0
1312,780,0.05969722823568015,0.054317849116865956,30,21,0.0
1312,32,,0.054317849116865956,30,21,1.0
1312,76,,0.054317849116865956,30,21,1.0
1312,100,,0.054317849116865956,30,21,1.0
1312,170,,0.054317849116865956,30,21,1.0
1312,218,,0.054317849116865956,30,21,1.0
1312,348,,0.054317849116865956,30,21,1.0
1312,360,,0.054317849116865956,30,21,1.0
1312,484,,0.054317849116865956,30,21,1.0
1312,524,,0.054317849116865956,30,21,1.0
1312,566,,0.054317849116865956,30,21,1.0
1312,586,,0.054317849116865956,30,21,1.0
1312,616,,0.054317849116865956,30,21,1.0
1312,642,,0.054317849116865956,30,21,1.0
1312,643,,0.054317849116865956,30,21,1.0
1312,682,,0.054317849116865956,30,21,1.0
1312,699,,0.054317849116865956,30,21,1.0
1312,784,,0.054317849116865956,30,21,1.0
1312,788,,0.054317849116865956,30,21,1.0
1312,792,,0.054317849116865956,30,21,1.0
1312,804,,0.054317849116865956,30,21,1.0
1312,818,,0.054317849116865956,30,21,1.0
1391,50,0.055167169578568556,0.15580854826151327,15,11,0.0
1391,144,0.12851281490433342,0.15580854826151327,15,11,0.0
1391,152,0.07383175695990934,0.15580854826151327,15,11,0.0
1391,188,0.0037271952464982524,0.15580854826151327,15,11,0.0
1391,214,0.12570313356181767,0.15580854826151327,15,11,0.0
1391,222,0.03524192485341244,0.15580854826151327,15,11,0.0
1391,320,0.12531923556893904,0.15580854826151327,15,11,0.0
1391,340,0.01932447235787254,0.15580854826151327,15,11,0.0
1391,458,0.10826404811325069,0.15580854826151327,15,11,0.0
1391,558,0.0,0.15580854826151327,15,11,0.0
1391,604,0.05991609730378605,0.15580854826151327,15,11,0.0
1391,608,0.0,0.15580854826151327,15,11,0.0
1391,704,0.0,0.15580854826151327,15,11,0.0
1391,710,0.22553531902735346,0.15580854826151327,15,11,0.0
1391,764,0.03945683252425835,0.15580854826151327,15,11,0.0
1391,76,,0.15580854826151327,15,11,1.0
1391,100,,0.15580854826151327,15,11,1.0
1391,170,,0.15580854826151327,15,11,1.0
1391,360,,0.15580854826151327,15,11,1.0
1391,484,,0.15580854826151327,15,11,1.0
1391,586,,0.15580854826151327,15,11,1.0
1391,616,,0.15580854826151327,15,11,1.0
1391,642,,0.15580854826151327,15,11,1.0
1391,699,,0.15580854826151327,15,11,1.0
1391,784,,0.15580854826151327,15,11,1.0
1391,792,,0.15580854826151327,15,11,1.0
1393,4,0.010295974235111463,0.029872734710430636,34,16,0.0
1393,31,0.08274117115830391,0.029872734710430636,34,16,0.0
1393,44,0.01998191347654943,0.029872734710430636,34,16,0.0
1393,50,0.030150286530404316,0.029872734710430636,34,16,0.0
1393,51,0.04362754886801238,0.029872734710430636,34,16,0.0
1393,70,0.0038138305163700507,0.029872734710430636,34,16,0.0
1393,144,0.041075215001447715,0.029872734710430636,34,16,0.0
1393,152,0.038472016094350234,0.029872734710430636,34,16,0.0
1393,170,0.04469959097519959,0.029872734710430636,34,16,0.0
1393,188,0.005302929916547154,0.029872734710430636,34,16,0.0
1393,214,0.004520679849330635,0.029872734710430636,34,16,0.0
1393,231,0.0,0.029872734710430636,34,16,0.0
1393,320,0.0456830403736243,0.029872734710430636,34,16,0.0
1393,364,0.0,0.029872734710430636,34,16,0.0
1393,398,0.0,0.029872734710430636,34,16,0.0
1393,400,0.0,0.029872734710430636,34,16,0.0
1393,404,0.020593920411480802,0.029872734710430636,34,16,0.0
1393,417,0.016271800865230474,0.029872734710430636,34,16,0.0
1393,422,0.03947778169696301,0.029872734710430636,34,16,0.0
1393,458,0.0,0.029872734710430636,34,16,0.0
1393,484,0.035948070284070655,0.029872734710430636,34,16,0.0
1393,496,0.04739959277380278,0.029872734710430636,34,16,0.0
1393,504,0.026212112287731067,0.029872734710430636,34,16,0.0
1393,512,0.0,0.029872734710430636,34,16,0.0
1393,524,0.019085557292911975,0.029872734710430636,34,16,0.0
1393,558,0.05809652081266922,0.029872734710430636,34,16,0.0
1393,604,0.04234723619141506,0.029872734710430636,34,16,0.0
1393,608,0.03871575985965127,0.029872734710430636,34,16,0.0
1393,704,0.054414063301094516,0.029872734710430636,34,16,0.0
1393,710,0.06380501076940354,0.029872734710430636,34,16,0.0
1393,748,0.07959476378201268,0.029872734710430636,34,16,0.0
1393,764,0.08240099725978478,0.029872734710430636,34,16,0.0
1393,858,0.005272615416526775,0.029872734710430636,34,16,0.0
1393,860,0.0,0.029872734710430636,34,16,0.0
1393,32,,0.029872734710430636,34,16,1.0
1393,76,,0.029872734710430636,34,16,1.0
