k,grp,ip,Dec,pre,gap_pre,tau,tau_aug,p_aug
2710,HIGH,0.0022318258,21.61307,0.4337423461418845,0.07389185521704743,1.3331208887720507,1.2235951976707582,0.20725388601036268
2720,LOW,0.0,29.400682,0.3222814364391665,0.030847641641415343,1.4189911699865565,1.6367253044976533,0.13803680981595093
2731,LOW,0.0,16.3346,0.26260375612141823,0.016621473075180502,1.5195496207514196,1.3360784806514276,0.1510791366906475
2790,HIGH,0.00036375664,41.79034,0.6025772219207397,0.0986432268892989,1.366055175075017,0.28973259702299137,0.7582417582417582
2811,LOW,0.0,9.190739,1.158537899054158,0.0661154147837839,2.9614677928385778,2.8980198071267207,0.05443548387096774
2818,LOW,0.0,60.78248,0.6114826685362377,-0.0051870117760869664,2.283671805847529,2.534584346994925,0.07658643326039387
2821,LOW,0.0,10.221003,0.18119167904748137,-0.0011789714061105627,2.9077036727619614,3.1639371369947806,0.01904761904761905
2823,LOW,0.0,14.336498,1.6248208576459369,-0.03728456189335412,1.1424547706002572,1.2876324628925269,0.26706827309236947
2910,HIGH,0.00048433078,0.58895856,0.20804455641138067,0.013352227342705237,3.2012132717735238,3.124826746418156,0.017241379310344827
2920,LOW,0.0,32.857235,0.42432182217017467,0.0033999711375063413,1.3419169059687412,1.7184374712653594,0.13157894736842105
3012,LOW,0.0,5.3276014,0.39052403285134124,-0.002844396627710582,1.4716106239691964,0.8377611223375886,0.3604336043360434
3030,LOW,0.0,1.8161476,0.6688351229637896,0.051059912767138886,0.9420845121359314,1.1323956497253458,0.2899786780383795
3099,LOW,0.0,62.460392,0.222634252871702,-0.022705103827439368,-0.2540819476523257,0.03239802541646414,0.963855421686747
3100,LOW,0.0,47.97236,0.25265400296670815,0.064768879204373,1.1078029726869527,0.07060111135014857,0.9261992619926199
3211,LOW,0.0,5.969632,0.31066998512794475,0.03216935423769533,0.21393016849598467,0.178974435877427,0.8025078369905956
3212,LOW,0.0,73.322365,0.2656297873750601,-0.009316792287344196,-0.6792771510901137,-0.6502312543630455,0.3892857142857143
3220,LOW,0.0,41.86086,0.14448265735331062,-0.0032936473083683315,-0.12175847084844271,-0.16810389713816087,0.7738095238095238
3230,LOW,0.0,62.893383,0.08787117057695276,0.013833635347874983,0.3316522984611314,0.3577972565869993,0.5789473684210527
3250,LOW,0.0,13.775894,0.6693026678682231,0.06439454159367566,0.9631722074550808,-0.4244976634289963,0.6460554371002132
Wastes,LOW,0.0,7.5241275,1.3043982190674013,-0.18951545871776593,-0.2457232099444635,0.5211707766578,0.5875251509054326
