i,name,pre,fit_x,tau_scm,tau_aug,corr,lam,imb,p_scm,p_aug,val,credible,outcome
764,Thailand,1.8220551324326228,4.92324109438539,2.120307649822598,0.4012382866323052,1.7190693631902927,10.0,1.8183646997954783,0.03278688524590164,0.6557377049180327,30043534.0,False,A. log US exports
784,UAE,0.3016513588439257,0.8150699392146553,0.6245514419357185,-0.8456732403566398,1.4702246822923584,0.1,0.2284157031781173,0.4180327868852459,0.3360655737704918,2599731.0,True,A. log US exports
788,Tunisia,0.10426123786731649,0.2817166186044834,0.4639445984751589,-0.7727217979231118,1.2366663963982707,0.01,0.07415148453099653,0.5491803278688525,0.3524590163934426,400593.125,True,A. log US exports
792,Turkiye,0.47447047318895935,1.2820317509040828,0.7560061460469587,0.010100318591315549,0.7459058274556432,1.0,0.4018706754013607,0.36065573770491804,1.0,8030557.5,True,A. log US exports
804,Ukraine,0.39099492586694573,1.0564786171724136,0.005676886190405739,0.001935507910403013,0.003741378280002726,0.1,0.3018975665954757,1.0,1.0,670192.0,True,A. log US exports
818,Egypt,0.14477851513707996,0.3911953719837986,0.022145594348772946,-0.0057742006161157315,0.027919794964888677,0.1,0.11573619416955969,0.9918032786885246,1.0,1457169.125,True,A. log US exports
12,Algeria,0.5959370384711519,1.4241123548914119,-2.0984892296373943,-1.2016521183433597,-0.8968371112940345,1.0,0.48090391285715034,0.07339449541284404,0.25688073394495414,125474.0859375,True,"C. log US exports, decoupling sectors"
32,Argentina,0.21433822627478372,0.5122046398500647,-0.312477464265136,-0.30956553941372666,-0.0029119248514093456,100.0,0.18095404201672205,0.5963302752293578,0.6513761467889908,3627914.75,True,"C. log US exports, decoupling sectors"
50,Bangladesh,0.48474618160106164,1.1583992630757176,0.2368263200440044,-0.25399075788957354,0.4908170779335779,0.1,0.45892143439547906,0.6605504587155964,0.6788990825688074,6199558.5,True,"C. log US exports, decoupling sectors"
68,Bolivia,0.12722317589585277,0.3040255680140575,-0.20335677765726778,-0.25568910850000337,0.052332330842735586,1.0,0.10786000408688326,0.7155963302752294,0.6788990825688074,802726.5,True,"C. log US exports, decoupling sectors"
76,Brazil,0.23204004263009712,0.5545067183385811,0.39970067818707555,0.430396542215935,-0.030695864028859446,1.0,0.14353146704450268,0.5321100917431193,0.5688073394495413,20568666.0,True,"C. log US exports, decoupling sectors"
100,Bulgaria,0.1466807810679638,0.35052345979351557,0.1877718089808642,0.0830990716173795,0.1046727373634847,1.0,0.10690309778817907,0.7339449541284404,0.8440366972477065,573555.3125,True,"C. log US exports, decoupling sectors"
152,Chile,0.10824176334245823,0.2586656350252831,0.44624122242650444,0.5652932831767163,-0.11905206075021195,1.0,0.09577950812666652,0.48623853211009177,0.4954128440366973,7215728.0,True,"C. log US exports, decoupling sectors"
170,Colombia,0.0641037047183339,0.15318879678613803,0.4133826159084677,0.42114865097003196,-0.007766035061564277,1.0,0.053710104881508354,0.5137614678899083,0.5688073394495413,2939266.0,True,"C. log US exports, decoupling sectors"
191,Croatia,0.11032802462129059,0.2636511792538125,0.23089149659603336,0.17105990234283255,0.059831594253200816,1.0,0.09365136825478663,0.6697247706422018,0.7798165137614679,500533.375,True,"C. log US exports, decoupling sectors"
