measure,spec,term,N,treated_obs,sd,tol,coef,se,p
frac_sub,without,Adv_Dec_US,16886001,847,271.04046630859375,1e-06,-0.14965935883723555,0.06927293955888195,0.030739372535083076
share_n_policies,with,DDD_dev,16886001,8858,0.0006699582445435226,1e-06,0.06357657141300248,0.02124180028335554,0.002762555801293809
share_n_policies,with,DDD_adv,16886001,8858,0.0006699582445435226,1e-06,-0.020790230026887627,0.030443875884347736,0.4946678090653318
share_n_policies,with,IPxUS_dev,16886001,8858,0.0006699582445435226,1e-06,-0.05888802102365551,0.019550937175187796,0.0025950643705046073
share_n_policies,with,IPxUS_adv,16886001,8858,0.0006699582445435226,1e-06,0.006012589105830488,0.012548216619035553,0.6318256226315133
share_n_policies,with,IPxUS_chn,16886001,8858,0.0006699582445435226,1e-06,-0.08414690754937129,0.015765374429336447,9.426256220024243e-08
share_n_policies,with,Dec_US_chn,16886001,8858,0.0006699582445435226,1e-06,-0.23259747070943704,0.08760804370857163,0.007931346818691454
share_n_policies,with,Adv_Dec_US,16886001,8858,0.0006699582445435226,1e-06,-0.09340036146402705,0.07061065180317631,0.18591795605932293
share_n_policies,without,DDD_dev,16886001,8858,0.0006699582445435226,1e-06,0.005882240224587822,0.01646088487829243,0.7208323944145056
share_n_policies,without,DDD_adv,16886001,8858,0.0006699582445435226,1e-06,-0.014849662725079716,0.029785874024176696,0.6180984421264508
share_n_policies,without,IPxUS_chn,16886001,8858,0.0006699582445435226,1e-06,-0.08383728466834205,0.015793405671363545,1.1060824989250762e-07
share_n_policies,without,Dec_US_chn,16886001,8858,0.0006699582445435226,1e-06,-0.26632702152175813,0.08731482607990981,0.002286947868417988
share_n_policies,without,Adv_Dec_US,16886001,8858,0.0006699582445435226,1e-06,-0.13062541523212443,0.07011769890362834,0.06247000744768738
share_n_sub,with,DDD_dev,16886001,847,0.0037986398674547672,1e-06,-0.006588893107221568,0.03363147951170618,0.8446771200857426
share_n_sub,with,DDD_adv,16886001,847,0.0037986398674547672,1e-06,0.01005533247406762,0.01753044971530797,0.5662436655703504
share_n_sub,with,IPxUS_dev,16886001,847,0.0037986398674547672,1e-06,-0.015471037873502054,0.031908412630516324,0.6277773272065073
share_n_sub,with,IPxUS_adv,16886001,847,0.0037986398674547672,1e-06,0.00667325882803049,0.014611126525404548,0.6478691096402158
share_n_sub,with,IPxUS_chn,16886001,847,0.0037986398674547672,1e-06,-0.7406188367943335,0.20201806439502495,0.00024627569465618393
share_n_sub,with,Dec_US_chn,16886001,847,0.0037986398674547672,1e-06,-0.2942976054825361,0.079604438717022,0.00021816239045668873
share_n_sub,with,Adv_Dec_US,16886001,847,0.0037986398674547672,1e-06,-0.14815439884403866,0.06860678446771594,0.030813602595563205
share_n_sub,without,DDD_dev,16886001,847,0.0037986398674547672,1e-06,-0.022035903036713166,0.010015239879493985,0.02779007248729659
share_n_sub,without,DDD_adv,16886001,847,0.0037986398674547672,1e-06,0.016724577190972565,0.0098954954538256,0.09100495266777697
