i,us_pre,us_post,tot_pre,Exposure,Alignment,IP_total,IP_sectors,ECI,meanPCI,Advanced,us_share_of_own,share_of_us_mkt,dlog_us,dshare_us,log_tot_pre,iso,mva_pc,log_mva_pc
100,573555.2912228703,1332044.7904090828,23155466.71109128,0.20345424220996117,0.2184122496919298,836.0,125.0,0.7798666272025404,-0.3281293431789359,0,0.02476975732681484,0.0002895482582301996,0.8426161348927401,0.00019104323555609834,16.957741453646843,100,1317.3333333333333,7.183364770199649
398,516087.81968986936,1154153.5108553048,15590542.505084004,0.07996374879330106,0.0,0.0,0.0,-0.45852207811414375,-1.4777390671823372,0,0.03310262099741401,0.0002605369204535104,0.8048455190278361,0.00015587277074786813,16.562175038702023,398,1009.6666666666666,6.917375522359127
191,500533.36652475875,900718.7853763085,11531625.459129533,0.19353431228002982,0.2217139706271616,817.0,125.0,0.5966249157167293,-0.13300488594541438,0,0.04340527433003722,0.00025268455662633946,0.5875188320745828,7.228783894336159e-05,16.26060385881632,191,1691.3333333333333,7.433272451491117
858,478156.9470263645,902207.392158046,7629269.785998873,0.06323791972589611,0.0,0.0,0.0,-0.40269061591673627,-0.7075579262767906,0,0.0626740121189411,0.00024138825548443137,0.6349053987624949,8.412121793884245e-05,15.84750269566625,858,1686.6666666666667,7.430509473613402
404,429425.91647770035,586526.9160601031,2849142.2848001495,0.19263446624686392,0.2043857520123183,39.0,25.0,-0.14745847644036778,-0.6785722608031776,0,0.15072112009591057,0.00021678734039733553,0.31176932100792065,-5.17294967656426e-06,14.86252855424778,404,148.33333333333334,4.99946199349813
788,400593.1194081164,875390.991615797,14874434.296336934,0.2769582010286135,0.2404204966106835,310.0,117.0,0.4734109405741325,-0.10201226337558421,0,0.026931654100402918,0.00020223166233253532,0.7817243867438055,0.00011360266045964506,16.515154478174434,788,553.0,6.315358001522335
566,399434.13181128784,597400.0076713562,4554509.16851763,0.06868608011627893,0.17189773554115367,77.0,52.0,-0.8785703776660481,-1.4797098995933162,0,0.0877008074925652,0.00020164656993585178,0.4025380435780441,1.3890748435064511e-05,15.331628326232849,566,290.6666666666667,5.67217713524087
328,360620.8522768871,224894.70213059286,1459428.8616724815,0.07303151243468987,0.0,0.0,0.0,-0.7941971023604838,-1.8659528415164162,0,0.24709724587988588,0.00018205243898218818,-0.47219483357901026,-0.0001009121638054255,14.193555726514216,328,299.0,5.700443573390687
104,303493.20760029246,896517.3484611453,7327358.680020054,0.22870548939645574,0.0,0.0,0.0,-0.5271640954317826,-0.9445974796987089,0,0.0414191826623481,0.00015321265619919894,1.0831584141616037,0.00017024389331363865,15.807125665133512,104,284.0,5.648974238161206
688,302450.8848332272,728781.3892006953,14170384.085662438,0.18696691943203464,0.038428889750491455,7.0,7.0,0.3753856643130077,-0.1889617027446325,0,0.02134387346206419,0.00015268645977779735,0.8794549092959922,0.00011025224844090443,16.46666471685085,688,1155.0,7.051855622955894
